window_id,recording_id,participant,label,t_start,fold,vert_std,vert_iqr,vert_p2p,vert_p95abs,vert_madiff,vert_kurt,vert_skew,vert_zcr,vertbp_std,vertbp_iqr,vertbp_p2p,vertbp_p95abs,vertbp_madiff,vertbp_kurt,vertbp_skew,vertbp_zcr,horiz_std,horiz_iqr,horiz_p2p,horiz_p95abs,horiz_madiff,horiz_kurt,horiz_skew,horiz_zcr,gyro_std,gyro_iqr,gyro_p2p,gyro_p95abs,gyro_madiff,gyro_kurt,gyro_skew,gyro_zcr,tacc_std,tacc_iqr,tacc_p2p,tacc_p95abs,tacc_madiff,tacc_kurt,tacc_skew,tacc_zcr,vert_bp0.5-3,vert_bf0.5-3,vert_bp3-8,vert_bf3-8,vert_bp8-15,vert_bf8-15,vert_bp15-30,vert_bf15-30,vert_bp30-50,vert_bf30-50,vert_centroid,vert_domfreq,vert_spec_entropy,gyro_bp0.5-3,gyro_bf0.5-3,gyro_bp3-8,gyro_bf3-8,gyro_bp8-15,gyro_bf8-15,gyro_bp15-30,gyro_bf15-30,gyro_bp30-50,gyro_bf30-50,gyro_centroid,gyro_domfreq,gyro_spec_entropy
P01_B01_W010,P01_B01,P01,bumpy,25.16638085937502,1,1.9555433,2.5591357350349426,10.432251,3.862372,0.79624057,2.92629,-0.13766845,0.18045112781954886,1.5142199,1.975759506225586,8.4818535,2.909936,0.7424431,2.9250648,0.25200614,0.21553884711779447,0.77355784,0.9012444913387299,5.214766,1.5429265,0.45241,6.957395,1.6600662,0.2656641604010025,0.53330886,0.9188245236873627,2.2614121,0.9167062,0.08607269,1.9951113,-0.01992959,0.045112781954887216,1.951532,2.503363609313965,10.523407,3.860302,0.8084968,2.899045,-0.09311277,0.19047619047619047,44243.20417645933,0.3905996632969108,36098.9701082289,0.31869856245949374,17152.211197139397,0.15142772868979643,15588.758710748596,0.13762484017545384,186.25813912923246,0.0016443738147902279,6.344913707317603,0.75,3.6420584578062933,8215.300479637395,0.8957891050242145,697.9313469594669,0.07610181736027752,170.29346451414602,0.01856864889442641,79.77209259482683,0.008698278487627848,7.645981511962967,0.0008337110678555855,1.9317141721970865,1.5,2.208875823207819
P01_B01_W011,P01_B01,P01,bumpy,27.166380859375025,1,1.9546444,2.529466390609741,10.9005165,3.7065687,0.8105012,3.209189,-0.3011921,0.17042606516290726,1.5357217,1.9434435963630676,9.981009,2.8531046,0.76867545,3.296181,0.16304635,0.20802005012531327,0.76542515,1.0435107052326202,4.869155,1.4010708,0.47909936,4.959793,1.2131627,0.2506265664160401,0.5288583,0.9207461476325989,2.058374,0.9242521,0.088409655,1.9397116,-0.013954134,0.045112781954887216,1.9510183,2.625406265258789,11.730288,3.9339108,0.8199669,3.204619,-0.25124794,0.17543859649122806,39488.95162832336,0.303409697182181,21107.32723894163,0.16217619110706163,60569.10810888235,0.46537712428733446,8828.928805246125,0.06783625557993825,155.7178368042379,0.0011964435560439341,7.429323087806473,0.75,3.706659871548998,6442.88784555889,0.8462045663079572,652.45180956024,0.08569258285728734,433.824857950557,0.056978265736646175,80.37891283534329,0.010556912475672095,4.290411580460232,0.0005634997780115871,2.3602704566067874,1.5,2.380242553003517
P01_B01_W012,P01_B01,P01,bumpy,29.166380859375025,1,2.3849838,3.1436959207057953,15.087025,4.77735,0.8323828,3.2402494,-0.088224985,0.13533834586466165,1.8823242,2.5015092492103577,12.19005,3.67435,0.7907998,3.2932823,-0.017229713,0.17794486215538846,0.85117215,1.1857589781284332,5.261645,1.56861,0.47977072,4.09375,0.8572548,0.21553884711779447,0.5258065,0.9017070382833481,2.538023,0.91856897,0.08471133,2.2499413,0.09592297,0.047619047619047616,2.3757975,3.2510509490966797,15.554702,4.7533197,0.84563154,3.3401632,-0.04173332,0.15037593984962405,45734.86273581385,0.36956955091314175,29542.30917825727,0.2387224380449743,34259.47435841129,0.2768404187915849,14117.227447753252,0.11407703217876525,97.83218912253876,0.0007905522403711837,6.276720719974423,0.75,3.633480118776337,7254.417965359036,0.8952527910219318,484.97143427647444,0.05984932660003345,253.93976450850568,0.03133818371277705,107.804219602558,0.013303896872773406,2.065841237608578,0.000254941215492227,2.0875117122400355,1.5,2.292433204706914
P01_B01_W013,P01_B01,P01,bumpy,31.166380859375028,1,2.6250522,3.5331425964832306,14.316587,5.236806,0.8505148,3.1142397,0.18590812,0.13283208020050125,2.22698,3.3684495091438293,12.19005,4.3155365,0.80010897,2.7367828,-0.007618079,0.13784461152882205,0.8878229,1.2118940502405167,5.20461,1.6408166,0.42546177,3.5993445,0.77320117,0.17794486215538846,0.51129633,0.8398241400718689,2.4677656,0.8774243,0.08872715,2.2664645,0.13774958,0.047619047619047616,2.6200616,3.4947433471679688,14.5379505,5.0451236,0.86358595,3.1624928,0.20626397,0.13784461152882205,59538.771540312635,0.301166853172704,103298.97771732986,0.5225204895942693,23052.995826154915,0.11660969868123179,11563.566088209816,0.05849235246452413,239.29130848163766,0.0012104148020286004,5.150713833401893,3.5,3.533970665013015,7063.225172734365,0.9025770458240496,400.40484630435543,0.05116589298414106,278.535217468476,0.03559273385635712,76.2764293712322,0.009747013949612148,7.166094466106182,0.0009157222395063854,2.056691284706579,1.5,2.340918732523019
P01_B01_W014,P01_B01,P01,bumpy,33.16638085937503,1,2.5576978,3.610237777233124,15.696856,4.7701244,0.9256411,2.9313886,0.17763661,0.15288220551378445,2.2456741,3.504973351955414,11.787033,4.30311,0.84867716,2.4570887,0.026873617,0.13283208020050125,0.9182461,1.1811444759368896,4.6113133,1.7853372,0.4576355,3.2668066,0.7672814,0.18295739348370926,0.48710707,0.7957435101270676,2.1957266,0.84287596,0.10039794,1.9646083,-0.100205995,0.05012531328320802,2.5562084,3.6473371982574463,15.159626,4.6364822,0.9209616,2.856263,0.19908082,0.14786967418546365,41034.666406907076,0.19541048986795423,126391.1520746513,0.6018851645331139,34150.46762347309,0.1626273634431035,8157.762447835595,0.03884794237999774,256.90136443226527,0.001223385636272768,5.289780072788922,3.5,3.3611008201732266,5482.247715464666,0.7447606118939687,1252.7170819109965,0.17018098941831258,488.40136701556384,0.06634908158606108,135.2409138835132,0.018372410552128394,2.4718800840858437,0.0003358036738761724,2.832531049154513,1.5,2.513059267083805
P01_B01_W015,P01_B01,P01,bumpy,35.16638085937503,1,2.4546986,3.408118039369583,12.047783,4.7682366,0.8323786,2.7106366,-0.20956062,0.12781954887218044,1.9341186,2.975258469581604,9.509544,3.5810354,0.7331211,2.3950999,0.07006466,0.14285714285714285,0.89946806,1.2276226580142975,4.6113133,1.5896888,0.4627333,3.191323,0.7156321,0.20802005012531327,0.53018665,0.9109506160020828,2.2213302,0.90451777,0.094376385,1.9208456,-0.12374722,0.047619047619047616,2.4413044,3.4966447353363037,11.453957,4.6519127,0.81714,2.5885873,-0.19219798,0.13784461152882205,57437.49371458845,0.303605003364901,91229.84987192761,0.48222575683714186,30911.104041866023,0.16339093577580524,9293.334965661661,0.04912301723228275,312.85835680414465,0.0016537170466080862,5.720311900558119,0.75,3.5703734237847415,6545.146252713582,0.8416726625593473,659.9765123817668,0.08486963727857005,451.4098898238607,0.05804902582828453,115.4526412052004,0.014846624990603149,4.364914656629265,0.0005613059203018303,2.66726757646666,1.5,2.358174955689442
P01_B01_W016,P01_B01,P01,bumpy,37.16638085937504,1,2.1247015,2.598231017589569,12.047783,4.475983,0.6599097,3.3549523,-0.33171135,0.15288220551378445,1.5177085,2.262550473213196,7.1783247,2.945613,0.59218544,2.5041614,0.2266775,0.15538847117794485,0.7820846,1.0516893118619919,4.2249165,1.5228355,0.3900452,3.6535833,0.96706885,0.19298245614035087,0.56220645,0.9482177793979645,2.1530266,0.951242,0.082583465,1.8841362,-0.12266247,0.042606516290726815,2.1098895,2.6694495677948,11.453957,4.3254514,0.64180416,3.2236142,-0.29783753,0.13784461152882205,71239.5270297681,0.4900008491585299,54070.14122995362,0.3719061063632269,15849.766487119032,0.10901811622650825,4141.268465111279,0.028484538697878186,85.82911954697698,0.0005903512167195336,4.013813082359035,0.75,3.29901661765297,8912.327499236573,0.9030903090456321,742.845133315289,0.07527284439179478,150.09622931197106,0.015209321036232478,61.797254559855666,0.006261944674206843,1.6324949547888314,0.00016542147641701544,1.8858185843219766,1.5,2.0686552382195105
P01_B01_W017,P01_B01,P01,bumpy,39.16638085937504,1,2.240685,2.698896646499634,12.434458,4.8146954,0.7452878,3.2216232,-0.45081913,0.13032581453634084,1.7667177,2.2052811682224274,11.32236,3.642887,0.6998255,3.646257,0.15647994,0.15288220551378445,0.99970174,0.973608210682869,6.024511,1.9211391,0.40686738,7.2459626,1.8403338,0.18045112781954886,0.5528214,0.8959860801696777,2.0751903,0.92268527,0.085298784,1.880056,-0.14605357,0.03508771929824561,2.2525916,2.6980836391448975,12.491316,4.835421,0.718499,3.2222366,-0.39890695,0.12531328320802004,62304.258130133414,0.3653967935586749,71153.2521000881,0.4172936320715094,24501.880324985992,0.14369657509136116,12476.625472827764,0.07317186784700407,75.071118143953,0.00044027080462736505,5.081233785936233,0.75,3.379433182819888,8500.657569347719,0.871248614408568,968.0995884277775,0.09922237405122614,152.98590114328033,0.01567981692095813,132.62483748182336,0.013592972655298543,2.499916523327066,0.0002562212145728062,2.0336425975734325,1.5,2.254383587552566
P01_B01_W018,P01_B01,P01,bumpy,41.16638085937504,1,2.4660792,2.9722331762313843,12.507078,4.935167,0.9047333,2.8176498,-0.26278478,0.14536340852130325,2.0377934,2.4978027045726776,11.459436,4.1529374,0.8465462,3.1062176,-0.03689211,0.15789473684210525,1.0704714,1.112891972064972,6.032362,2.1047587,0.5003055,5.7169695,1.5827305,0.19548872180451127,0.5287095,0.8604188412427902,2.2636096,0.910653,0.09754615,2.0297823,-0.010311622,0.05513784461152882,2.490781,2.952575922012329,12.754202,4.940651,0.88556135,2.8024578,-0.2329539,0.13533834586466165,48651.668780253254,0.31757174286882695,68145.34046737559,0.44481587339503004,22151.307029998785,0.14459173460447525,14097.157652219337,0.09201860978978349,152.89184180724607,0.0009979951333726762,5.912350485007773,0.75,3.423294064975104,6634.342245043553,0.839886903387406,761.0176439409627,0.09634244493043315,351.63725377529096,0.04451617255796875,144.93221315144413,0.0183479632507338,7.155593942020157,0.0009058757320442605,2.4167168167590036,1.5,2.4578912620428617
P01_B01_W019,P01_B01,P01,bumpy,43.16638085937504,1,2.284544,2.9659195840358734,12.030039,4.3180337,0.884654,2.6491537,-0.014139643,0.16791979949874686,1.8136969,2.5720781087875366,10.529015,3.4854083,0.74595815,2.8884192,-0.06442485,0.16791979949874686,0.8553097,1.0028045624494553,4.754285,1.5662875,0.5157548,4.45312,1.1770906,0.2681704260651629,0.5434063,0.8832354247570038,2.3201232,0.9559785,0.09640438,2.0683033,0.009490805,0.06516290726817042,2.2878582,3.045888662338257,12.279392,4.350146,0.8917109,2.6655514,0.015184374,0.14536340852130325,42217.566104968595,0.2665672882804161,67068.48712084562,0.42347928576511973,37753.55003872908,0.2383809012523484,11172.124129789609,0.07054226731606215,163.14696583395852,0.001030131489944365,6.3943950257208595,0.75,3.6533043092254336,7685.550881458515,0.8510920001716661,923.0612322116303,0.10221909171133235,337.62910799638166,0.03738878803522849,77.5831206223758,0.008591495174322056,6.37548626250307,0.0007060164507285108,2.330947258624067,1.5,2.46336616790582
P01_B01_W020,P01_B01,P01,bumpy,45.166380859375046,1,2.192217,2.6050318777561188,13.0391445,4.304081,0.89003843,3.087255,-0.13040158,0.15538847117794485,1.6613075,2.1175933182239532,9.555656,3.322161,0.73530287,2.9879456,0.23874255,0.18546365914786966,0.7499523,0.9955987185239792,4.7587767,1.301462,0.5086561,5.0908613,1.1285963,0.2932330827067669,0.5884108,1.0068372040987015,2.368209,1.0046623,0.101325035,1.9267334,-0.06277918,0.05012531328320802,2.1837516,2.7141387462615967,12.382826,4.3947124,0.8914886,3.0689032,-0.12683569,0.15538847117794485,66141.77729114542,0.35293516217777055,68353.05395611492,0.3647346226751136,24510.93997467319,0.13079135350433022,28125.284644407966,0.15007764084680802,272.96011437057496,0.001456526059307127,6.256576084288826,0.75,3.6304581025511413,8320.485481307256,0.8448183320470888,1038.890767270592,0.10548350419653252,297.5159763576479,0.030208207377863165,185.5034328977622,0.01883504287361298,6.4415205206616415,0.0006540381128406785,2.386218997723855,1.5,2.393085163257773
P01_B01_W021,P01_B01,P01,bumpy,47.166380859375046,1,2.1242735,2.3925900757312775,13.117602,4.4695034,0.82666564,3.5149567,-0.4019864,0.16040100250626566,1.5948046,1.872978389263153,9.555656,3.2632897,0.7320705,3.2177014,0.16222538,0.20300751879699247,0.7266881,0.8675045222043991,4.758777,1.4229538,0.46822274,5.4024754,1.2514137,0.2932330827067669,0.54660416,0.9155736565589905,2.3570898,0.9732474,0.09206486,2.0160165,-0.09207033,0.03759398496240601,2.1000037,2.3866353034973145,12.811483,4.391565,0.81674004,3.4801307,-0.37731093,0.16541353383458646,54593.28792331245,0.4695663995684636,36456.17471894569,0.3135659227716926,12261.33261202533,0.10546186220964986,12759.164689812884,0.10974380281532946,193.1002582165235,0.0016608890296888343,5.148525532700371,0.75,3.4334510101236986,7869.692931505732,0.8715534908264904,817.0621704417036,0.09048807787910536,198.54271168852867,0.02198822685413041,140.88711435063757,0.015602979353004464,3.315734156841441,0.00036721123736334474,2.129309553832826,1.5,2.2652791699250123
P01_B01_W022,P01_B01,P01,bumpy,49.166380859375046,1,2.173773,2.8054121136665344,12.172833,4.2861423,0.8066052,3.0589514,-0.35090092,0.14285714285714285,1.6068355,2.039489910006523,8.563478,3.3952777,0.7160863,3.0749578,0.11629328,0.19548872180451127,0.80609727,0.9587533622980118,4.8149657,1.6436744,0.44113627,4.55981,1.1198882,0.22055137844611528,0.5348741,0.8785210102796555,2.253376,0.95998234,0.08446454,2.024848,-0.13754751,0.03759398496240601,2.143633,2.7666590213775635,11.996779,4.30605,0.7974743,3.0134394,-0.29924557,0.14035087719298245,51941.0521752789,0.4560039112317162,24900.907108330208,0.21861149435899443,27694.235277361255,0.24313484375387115,9152.533227581007,0.08035245291857186,215.1835846057771,0.0018891522621060262,5.629961774116967,0.75,3.5549042478109643,6834.225080751107,0.8505444614374774,838.6312459682234,0.10437074474700936,295.6872058428176,0.03679936090426386,64.3435453831445,0.008007791008965396,2.2277937334329705,0.0002772571284685115,2.087929367246016,1.5,2.3417225079232185
P01_B01_W023,P01_B01,P01,bumpy,51.166380859375046,1,2.5414987,3.509476661682129,14.357058,4.840888,1.0749488,3.009663,0.289439,0.15037593984962405,2.1083055,2.83751118183136,12.614101,4.186249,0.9857607,3.2641888,0.32697093,0.20802005012531327,0.98631173,1.2690366208553314,5.626866,2.058858,0.5873843,4.406274,1.1445799,0.24812030075187969,0.55584496,0.9300529509782791,2.2547088,0.9570483,0.10797729,1.9691516,-0.099670954,0.045112781954887216,2.5286107,3.288353204727173,13.975924,4.7758703,1.0661768,2.9921393,0.30889863,0.14536340852130325,59816.466071648036,0.2893674043631127,76514.67647486618,0.3701464626929829,48321.1361769296,0.23375773711951384,21879.116594868243,0.1058421467298243,182.84697987924278,0.0008845383125762619,6.545041787035784,0.75,3.78547774813343,7634.494019022328,0.8301878924264106,1036.1259510231953,0.11267010196419162,335.79548807576936,0.0365149737280979,183.08490447675229,0.01990896457629423,6.601494278488875,0.0007178577399194186,2.4843223833588524,1.5,2.4843262603323137
P01_B01_W024,P01_B01,P01,bumpy,53.16638085937505,1,2.3899808,3.230147272348404,12.565347,4.340051,0.95576495,3.2210462,0.5716835,0.14035087719298245,1.9645599,2.4168827533721924,12.614101,3.7980492,0.8892209,3.717221,0.4149051,0.19799498746867167,0.97160184,1.225248858332634,5.670903,1.8734535,0.5735262,4.380404,1.14489,0.24060150375939848,0.52013457,0.8197727501392365,2.2003646,0.91514754,0.1068999,2.1297107,-0.1365559,0.05764411027568922,2.390841,3.310917615890503,12.691083,4.507047,0.95488095,3.2194617,0.5801857,0.14035087719298245,51788.940469779045,0.2860408171007752,55381.44242365486,0.30588293368013286,50558.588888369115,0.2792453358942598,22849.327378420654,0.12620146722909859,474.01947938810497,0.0026181056800144284,7.126654141722201,0.75,3.834887136084303,7128.388909714163,0.8260171126610477,984.7436970842242,0.114109254654751,318.2986823569101,0.036883531734075034,179.23336642044086,0.020769044688538005,19.059057867213497,0.002208508563283031,2.428236151862061,1.5,2.4487588989182294
